Title,Year,Console,Generation,Sub-Genre,Fan translation?,Min-7 Average,Pure Average,Popularity,Percentage of 4s or 5s,"Percentage of 1s, 2s, or 3s",Percentage of 5s,1,2,3,4,5,Popularity Gradient Average,Min-10 Average,Min-12 Average,TwoEdge .5 votes
Shin Megami Tensei: Digital Devil Saga,2004,Playstation 2,Sixth,JRPG,No,3.944444444,3.944444444,18,61.11%,38.89%,38.89%,0,1,6,4,7,3.82,3.944444444,3.944444444,
Pokemon 2 Soul Silver / Heart Gold,2009,Nintendo DS,Seventh,JRPG,No,3.944444444,3.944444444,18,66.67%,33.33%,33.33%,0,1,5,6,6,3.82,3.944444444,3.944444444,
Persona 4,2008,Playstation 2,Sixth,JRPG,No,3.9375,3.9375,32,68.75%,31.25%,31.25%,0,2,8,12,10,3.858974359,3.9375,3.9375,
Radiant Historia,2010,Nintendo DS,Seventh,JRPG,No,3.9375,3.9375,16,68.75%,31.25%,37.50%,0,2,3,5,6,3.804347826,3.9375,3.9375,
Shin Megami Tensei: Devil Survivor,2009,Nintendo DS,Seventh,JRPG/SRPG,No,3.933333333,3.933333333,15,73.33%,26.67%,33.33%,1,0,3,6,5,3.795454545,3.933333333,3.933333333,
Seiken Densetsu 3,1995,SNES,Fourth,ARPG,Yes,3.933333333,3.933333333,15,66.67%,33.33%,26.67%,0,0,5,6,4,3.795454545,3.933333333,3.933333333,
Vagrant Story,2000,Playstation,Fifth,RTwP,No,3.909090909,3.909090909,22,77.27%,22.73%,27.27%,1,1,3,11,6,3.810344828,3.909090909,3.909090909,
Xenosaga 3,2006,Playstation 2,Sixth,JRPG,No,3.9,3.9,10,80.00%,20.00%,20.00%,0,1,1,6,2,3.735294118,3.9,3.9,
Valkyria Chronicles IV,2018,PC,Eighth,SRPG,No,3.888888889,3.888888889,18,61.11%,38.89%,33.33%,0,1,6,5,6,3.78,3.888888889,3.888888889,
Dragon Quest VII,2000,Playstation,Fifth,JRPG,No,3.880952381,3.880952381,21,52.38%,47.62%,28.57%,0,0,9,5,6,3.785714286,3.880952381,3.880952381,4.5
Persona 5,2016,Playstation 4,Eighth,JRPG,No,3.88,3.88,25,68.00%,32.00%,28.00%,0,2,6,10,7,3.796875,3.88,3.88,
Final Fantasy V,1992,SNES,Fourth,JRPG,Original only,3.875,3.875,32,68.75%,31.25%,21.88%,0,1,9,15,7,3.807692308,3.875,3.875,
Tactics Ogre: Let Us Cling Together,1995,SNES,Fourth,SRPG,No,3.875,3.875,24,70.83%,29.17%,25.00%,1,0,6,11,6,3.790322581,3.875,3.875,
Shin Megami Tensei V,2021,Nintendo Switch,Ninth,JRPG,No,3.875,3.875,16,68.75%,31.25%,25.00%,0,1,4,7,4,3.760869565,3.875,3.875,
Breath of Fire: Dragon Quarter,2002,Playstation 2,Sixth,JRPG,No,3.866666667,3.866666667,15,66.67%,33.33%,46.67%,2,0,3,3,7,3.75,3.866666667,3.866666667,
Ogre Battle: The March of the Black Queen,1993,SNES,Fourth,SRPG,No,3.866666667,3.866666667,15,66.67%,33.33%,33.33%,0,2,3,5,5,3.75,3.866666667,3.866666667,
Final Fantasy VI,1994,SNES,Fourth,JRPG,No,3.860465116,3.860465116,43,67.44%,32.56%,37.21%,1,6,7,13,16,3.81,3.860465116,3.860465116,
Ys VI: The Ark of Napishtim,2003,PC,Sixth,ARPG,No,3.857142857,3.857142857,7,57.14%,42.86%,28.57%,0,0,3,2,2,3.678571429,0,0,
Warsong,1991,Genesis / Mega Drive,Fourth,SRPG,No,3.857142857,3.857142857,7,71.43%,28.57%,14.29%,0,0,2,4,1,3.678571429,0,0,
Shining Force II,1993,Genesis / Mega Drive,Fourth,SRPG,No,3.85,3.85,20,70.00%,30.00%,15.00%,0,0,6,11,3,3.759259259,3.85,3.85,
Shadow Hearts 1,2001,Playstation 2,Sixth,JRPG,No,3.846153846,3.846153846,13,53.85%,46.15%,30.77%,0,0,6,3,4,3.725,3.846153846,3.846153846,
Chrono Trigger,1995,SNES,Fourth,JRPG,No,3.814814815,3.814814815,54,61.11%,38.89%,37.04%,3,3,15,13,20,3.778688525,3.814814815,3.814814815,
Monster Hunter World,2018,Playstation 4,Eighth,ARPG,No,3.8125,3.8125,16,75.00%,25.00%,25.00%,1,1,2,8,4,3.717391304,3.8125,3.8125,
Parasite Eve 1,1998,Playstation,Fifth,RTwP,No,3.8,3.8,20,75.00%,25.00%,15.00%,1,0,4,12,3,3.722222222,3.8,3.8,
Suikoden 3,2002,Playstation 2,Sixth,JRPG,No,3.8,3.8,10,70.00%,30.00%,10.00%,0,0,3,6,1,3.676470588,3.8,3.8,
Valkyria Chronicles,2008,Playstation 3,Seventh,SRPG,No,3.785714286,3.785714286,28,64.29%,35.71%,21.43%,0,2,8,12,6,3.728571429,3.785714286,3.785714286,
Vandal Hearts 1,1996,Playstation,Fifth,SRPG,No,3.777777778,3.777777778,9,66.67%,33.33%,22.22%,0,1,2,4,2,3.65625,0,3.777777778,
Paper Mario 1,2000,Nintendo 64,Fifth,JRPG,No,3.777777778,3.777777778,9,66.67%,33.33%,11.11%,0,0,3,5,1,3.65625,0,3.777777778,
Final Fantasy IX,2000,Playstation,Fifth,JRPG,No,3.775,3.775,40,62.50%,37.50%,27.50%,1,3,11,14,11,3.734042553,3.775,3.775,
Front Mission 3,1999,Playstation,Fifth,SRPG,No,3.769230769,3.769230769,13,69.23%,30.77%,15.38%,0,1,3,7,2,3.675,3.769230769,3.769230769,
Shining Force,1991,Genesis / Mega Drive,Fourth,SRPG,No,3.761904762,3.761904762,21,61.90%,38.10%,23.81%,0,2,6,8,5,3.696428571,3.761904762,3.761904762,
Final Fantasy VII,1997,Playstation,Fifth,JRPG,No,3.755555556,3.755555556,45,64.44%,35.56%,28.89%,2,4,10,16,13,3.721153846,3.755555556,3.755555556,
Super Robot Wars Series,1991,Various,Various,SRPG,Partial,3.75,3.75,8,50.00%,50.00%,25.00%,0,0,4,2,2,3.633333333,0,0,
The Legend of Heroes: Trails from Zero,2010,PC,Seventh,JRPG with SRPG elements,No,3.75,3.75,8,37.50%,62.50%,37.50%,0,0,5,0,3,3.633333333,0,0,
Valkyrie Profile: Covenant of the Plume,2008,Nintendo DS,Seventh,SRPG,No,3.75,3.75,8,62.50%,37.50%,37.50%,1,0,2,2,3,3.633333333,0,0,
Mother 2: Earthbound,1994,SNES,Fourth,JRPG,No,3.741935484,3.741935484,31,54.84%,45.16%,32.26%,0,4,10,7,10,3.697368421,3.741935484,3.741935484,
Dragon Quest VIII,2004,Playstation 2,Sixth,JRPG,No,3.725,3.725,20,55.00%,45.00%,15.00%,0,1,7,8,3,3.666666667,3.725,3.725,4.5
Suikoden,1995,Playstation,Fifth,JRPG,No,3.722222222,3.722222222,18,61.11%,38.89%,27.78%,0,3,4,6,5,3.66,3.722222222,3.722222222,
Rance VI,2004,PC,Sixth,JRPG/SRPG,No,3.714285714,3.714285714,7,57.14%,42.86%,28.57%,0,1,2,2,2,3.607142857,0,0,
Dragon Quest XI,2017,PC,Eighth,JRPG,No,3.692307692,3.692307692,26,61.54%,38.46%,23.08%,0,4,6,10,6,3.651515152,3.692307692,3.692307692,
Dragon Quest IV,1990,NES,Third,JRPG,No,3.6875,3.6875,16,56.25%,43.75%,25.00%,0,2,5,5,4,3.630434783,3.6875,3.6875,
Live a Live,1994,SNES,Fourth,JRPG with SRPG elements,Original only,3.6875,3.6875,16,56.25%,43.75%,31.25%,0,3,4,4,5,3.630434783,3.6875,3.6875,
Persona 2: Eternal Punishment,2000,Playstation,Fifth,JRPG,No,3.666666667,3.666666667,15,60.00%,40.00%,20.00%,0,2,4,6,3,3.613636364,3.666666667,3.666666667,
Persona 2: Innocent Sin,1999,Playstation,Fifth,JRPG,Yes,3.666666667,3.666666667,15,60.00%,40.00%,20.00%,0,2,4,6,3,3.613636364,3.666666667,3.666666667,
Paper Mario: The Thousand Year Door,2004,Gamecube,Sixth,JRPG,No,3.666666667,3.666666667,12,50.00%,50.00%,25.00%,0,1,5,3,3,3.605263158,3.666666667,3.666666667,
Grandia 2,2000,Dreamcast,Sixth,JRPG,No,3.666666667,3.666666667,12,50.00%,50.00%,16.67%,0,0,6,4,2,3.605263158,3.666666667,3.666666667,
Shiren the Wanderer,2006,Nintendo DS,Seventh,Roguelike,No,3.666666667,3.666666667,12,50.00%,50.00%,33.33%,0,2,4,2,4,3.605263158,3.666666667,3.666666667,
Way of the Samurai 4,2011,Playstation 3,Seventh,ARPG,No,3.666666667,3.666666667,9,55.56%,44.44%,22.22%,0,1,3,3,2,3.59375,0,3.666666667,
Ogre Battle 64: Person of Lordly Caliber,1999,Nintendo 64,Fifth,SRPG,No,3.666666667,3.666666667,9,55.56%,44.44%,11.11%,0,0,4,4,1,3.59375,0,3.666666667,
Mother 3,2006,Gameboy Advance,Sixth,JRPG,Yes,3.647058824,3.647058824,17,58.82%,41.18%,17.65%,0,2,5,7,3,3.604166667,3.647058824,3.647058824,
Dragon Quest VI,1995,SNES,Fourth,JRPG,Original only,3.642857143,3.642857143,14,50.00%,50.00%,21.43%,0,1,6,4,3,3.595238095,3.642857143,3.642857143,
King’s Field IV,2001,Playstation 2,Sixth,ARPG,No,3.636363636,3.636363636,11,54.55%,45.45%,27.27%,0,2,3,3,3,3.583333333,3.636363636,3.636363636,
Secret of Evermore,1995,SNES,Fourth,ARPG,No,3.636363636,3.636363636,11,45.45%,54.55%,18.18%,0,0,6,3,2,3.583333333,3.636363636,3.636363636,
Ys VIII,2016,Playstation 4,Eighth,ARPG,No,3.636363636,3.636363636,11,54.55%,45.45%,18.18%,0,1,4,4,2,3.583333333,3.636363636,3.636363636,
The Legend of Heroes: Trails in the Sky,2004,PC,Seventh,JRPG with SRPG elements,No,3.625,3.625,24,58.33%,41.67%,16.67%,0,3,7,10,4,3.596774194,3.625,3.625,
Xenoblade Chronicles,2010,Wii,Seventh,ARPG,No,3.625,3.625,16,62.50%,37.50%,18.75%,0,3,3,7,3,3.586956522,3.625,3.625,
Elminage Gothic,2012,PC,Seventh,Blobber,No,3.619047619,3.619047619,21,52.38%,47.62%,23.81%,0,3,7,6,5,3.589285714,3.619047619,3.619047619,
Shin Megami Tensei II,1994,SNES,Fourth,Blobber,Yes,3.6,3.6,15,53.33%,46.67%,20.00%,0,2,5,5,3,3.568181818,3.6,3.6,
Fire Emblem 14: Three Houses,2019,Nintendo Switch,Eighth,SRPG,No,3.6,3.6,15,53.33%,46.67%,20.00%,0,2,5,5,3,3.568181818,3.6,3.6,
Dark Cloud 2,2002,Playstation 2,Sixth,ARPG,No,3.6,3.6,10,60.00%,40.00%,20.00%,0,2,2,4,2,3.558823529,3.6,3.6,
Tactics Ogre: The Knight of Lodis,2001,Gameboy Advance,Sixth,SRPG,No,3.6,3.6,10,60.00%,40.00%,10.00%,0,1,3,5,1,3.558823529,3.6,3.6,
Romancing Saga 2,1993,SNES,Fourth,JRPG,No,3.6,3.6,10,60.00%,40.00%,10.00%,0,1,3,5,1,3.558823529,3.6,3.6,
Saga Frontier,1997,Playstation,Fifth,JRPG,No,3.6,3.6,10,50.00%,50.00%,10.00%,0,0,5,4,1,3.558823529,3.6,3.6,
Valkyrie Profile 2: Silmeria,2006,Playstation 2,Sixth,JRPG,No,3.583333333,3.583333333,12,50.00%,50.00%,25.00%,0,2,4,3,3,3.552631579,3.583333333,3.583333333,
Final Fantasy Tactics A2: Grimoire of the Rift,2007,Nintendo DS,Seventh,SRPG,No,3.571428571,3.571428571,7,57.14%,42.86%,28.57%,0,2,1,2,2,3.535714286,0,0,
SMT: Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,2008,Playstation 2,Sixth,RTwP,No,3.555555556,3.555555556,9,55.56%,44.44%,11.11%,0,1,3,4,1,3.53125,0,3.555555556,
Langrisser II,1994,Genesis / Mega Drive,Fourth,SRPG,Yes,3.555555556,3.555555556,9,55.56%,44.44%,0.00%,0,0,4,5,0,3.53125,0,3.555555556,
Xenoblade Chronicles 2,2017,Nintendo Switch,Eighth,ARPG,No,3.555555556,3.555555556,9,44.44%,55.56%,11.11%,0,0,5,3,1,3.53125,0,3.555555556,
Suikoden 5,2006,Playstation 2,Sixth,JRPG,No,3.545454545,3.545454545,11,54.55%,45.45%,9.09%,0,1,4,5,1,3.527777778,3.545454545,3.545454545,
Fire Emblem 6: The Binding Blade,2002,Gameboy Advance,Sixth,SRPG,Yes,3.545454545,3.545454545,11,63.64%,36.36%,0.00%,0,1,3,7,0,3.527777778,3.545454545,3.545454545,
Fire Emblem 7: The Blazing Blade,2003,Gameboy Advance,Sixth,SRPG,No,3.526315789,3.526315789,19,57.89%,42.11%,10.53%,0,3,5,9,2,3.519230769,3.526315789,3.526315789,
Shin Megami Tensei IV,2013,Nintendo 3DS,Eighth,Blobber,No,3.5,3.5,20,55.00%,45.00%,25.00%,1,4,4,6,5,3.5,3.5,3.5,
Breath of Fire IV,2000,Playstation,Fifth,JRPG,No,3.5,3.5,18,55.56%,44.44%,5.56%,0,2,6,9,1,3.5,3.5,3.5,
Resonance of Fate,2010,Xbox 360,Seventh,JRPG,No,3.5,3.5,12,50.00%,50.00%,16.67%,0,2,4,4,2,3.5,3.5,3.5,
Front Mission 5,2005,Playstation 2,Sixth,SRPG,Yes,3.5,3.5,8,50.00%,50.00%,12.50%,0,1,3,3,1,3.5,0,0,
Shining the Holy Ark,1997,Sega Saturn,Fifth,Blobber,No,3.5,3.5,8,50.00%,50.00%,12.50%,0,1,3,3,1,3.5,0,0,
SMT: Devil Summoner: Soul Hackers,1997,Sega Saturn,Fifth,JRPG,No,3.5,3.5,8,50.00%,50.00%,25.00%,0,2,2,2,2,3.5,0,0,
Golden Sun: The Lost Age,2010,Gameboy Advance,Sixth,JRPG,No,3.466666667,3.466666667,15,53.33%,46.67%,20.00%,1,2,4,5,3,3.477272727,3.466666667,3.466666667,
Final Fantasy XII,2006,Playstation 2,Sixth,RTwP,No,3.466666667,3.466666667,30,50.00%,50.00%,13.33%,0,5,10,11,4,3.472972973,3.466666667,3.466666667,
The Last Remnant,2008,Xbox 360,Seventh,JRPG,No,3.461538462,3.461538462,13,53.85%,46.15%,23.08%,1,2,3,4,3,3.475,3.461538462,3.461538462,
Elminage,2008,Playstation Portable,Seventh,Blobber,No,3.461538462,3.461538462,13,46.15%,53.85%,15.38%,0,2,5,4,2,3.475,3.461538462,3.461538462,
Recettear: An Item Shop’s Tale,2007,PC,Seventh,Other,No,3.461538462,3.461538462,13,38.46%,61.54%,7.69%,0,0,8,4,1,3.475,3.461538462,3.461538462,
Wizardry: Tale of the Forsaken Land,2001,Playstation 2,Sixth,Blobber,No,3.454545455,3.454545455,11,36.36%,63.64%,18.18%,0,1,6,2,2,3.472222222,3.454545455,3.454545455,
Ys Origins (I & II),2006,Playstation Portable,Seventh,ARPG,No,3.45,3.45,20,55.00%,45.00%,15.00%,1,3,5,8,3,3.462962963,3.45,3.45,
Breath of Fire II,1994,SNES,Fourth,JRPG,No,3.45,3.45,20,50.00%,50.00%,20.00%,0,5,5,6,4,3.462962963,3.45,3.45,
Xenosaga 1,2002,Playstation 2,Sixth,JRPG,No,3.444444444,3.444444444,9,55.56%,44.44%,0.00%,0,1,3,5,0,3.46875,0,3.444444444,
Fire Emblem 9: Path of Radiance,2005,Gamecube,Sixth,SRPG,No,3.444444444,3.444444444,18,55.56%,44.44%,11.11%,1,2,5,8,2,3.46,3.444444444,3.444444444,
Pokemon 3 Emerald,2004,Gameboy Advance,Sixth,JRPG,No,3.4375,3.4375,16,56.25%,43.75%,12.50%,1,2,4,7,2,3.456521739,3.4375,3.4375,
Ys VII,2009,Playstation Portable,Seventh,ARPG,No,3.428571429,3.428571429,7,42.86%,57.14%,0.00%,0,0,4,3,0,3.464285714,0,0,
Lunar 2: Eternal Blue,1994,Sega CD,Fourth,JRPG,No,3.428571429,3.428571429,7,42.86%,57.14%,28.57%,0,2,2,1,2,3.464285714,0,0,
Xenoblade Chronicles X,2015,Wii U,Eighth,ARPG,No,3.428571429,3.428571429,7,42.86%,57.14%,42.86%,1,1,2,0,3,3.464285714,0,0,
Star Ocean 1,1996,SNES,Fourth,ARPG,Original only,3.416666667,3.416666667,12,50.00%,50.00%,16.67%,1,1,4,4,2,3.447368421,3.416666667,3.416666667,
Tales of Berseria,2016,Playstation 4,Eighth,ARPG,No,3.416666667,3.416666667,12,25.00%,75.00%,25.00%,0,1,8,0,3,3.447368421,3.416666667,3.416666667,
Disgaea 2,2006,Playstation 2,Sixth,SRPG,No,3.411764706,3.411764706,17,47.06%,52.94%,23.53%,1,3,5,4,4,3.4375,3.411764706,3.411764706,
The Legend of Heroes: Trails of Cold Steel,2013,Playstation 3,Seventh,JRPG,No,3.411764706,3.411764706,17,41.18%,58.82%,23.53%,0,4,6,3,4,3.4375,3.411764706,3.411764706,
Princess Maker 2,1993,PC,Fourth,Raising Sim with JRPG elements,No,3.411764706,3.411764706,17,47.06%,52.94%,23.53%,1,3,5,4,4,3.4375,3.411764706,3.411764706,
Grandia,1997,Playstation,Fifth,JRPG,No,3.411764706,3.411764706,17,52.94%,47.06%,5.88%,0,3,5,8,1,3.4375,3.411764706,3.411764706,
Monster Hunter Rise,2021,Nintendo Switch,Ninth,ARPG,No,3.375,3.375,8,62.50%,37.50%,12.50%,1,1,1,4,1,3.433333333,0,0,
Fire Emblem 1: Shadow Dragon and the Blade of Light / Shadow Dragon,1990,NES,Third,SRPG,Original only,3.375,3.375,16,37.50%,62.50%,6.25%,0,1,9,5,1,3.413043478,3.375,3.375,
Breath of Fire III,1997,Playstation,Fifth,JRPG,No,3.375,3.375,16,37.50%,62.50%,12.50%,0,2,8,4,2,3.413043478,3.375,3.375,
Shin Megami Tensei I,1992,SNES,Fourth,Blobber,Yes,3.368421053,3.368421053,19,47.37%,52.63%,5.26%,0,3,7,8,1,3.403846154,3.368421053,3.368421053,
Stranger of Sword City,2014,PC,Eighth,Blobber,No,3.368421053,3.368421053,19,42.11%,57.89%,10.53%,0,3,8,6,2,3.403846154,3.368421053,3.368421053,
The Legend of Dragoon,1999,Playstation,Fifth,JRPG,No,3.363636364,3.363636364,11,45.45%,54.55%,18.18%,1,1,4,3,2,3.416666667,3.363636364,3.363636364,
Final Fantasy IV,1991,SNES,Fourth,JRPG,No,3.363636364,3.363636364,33,48.48%,51.52%,6.06%,0,6,11,14,2,3.3875,3.363636364,3.363636364,
Golden Sun,2001,Gameboy Advance,Sixth,JRPG,No,3.347826087,3.347826087,23,43.48%,56.52%,8.70%,0,4,9,8,2,3.383333333,3.347826087,3.347826087,
Fire Emblem 2: Gaiden / Shadows of Valentia,1992,NES,Third,SRPG,Original only,3.333333333,3.333333333,9,33.33%,66.67%,22.22%,0,2,4,1,2,3.40625,0,3.333333333,
Tales of the Abyss,2005,Playstation 2,Sixth,ARPG,No,3.333333333,3.333333333,9,33.33%,66.67%,11.11%,0,1,5,2,1,3.40625,0,3.333333333,
Legend of Mana,1999,Playstation,Fifth,ARPG,No,3.333333333,3.333333333,12,50.00%,50.00%,16.67%,1,2,3,4,2,3.394736842,3.333333333,3.333333333,
Star Ocean 2: The Second Story,1998,Playstation,Fifth,ARPG,No,3.333333333,3.333333333,15,46.67%,53.33%,20.00%,1,3,4,4,3,3.386363636,3.333333333,3.333333333,
Front Mission,1995,SNES,Fourth,SRPG,Original only,3.333333333,3.333333333,18,33.33%,66.67%,22.22%,1,2,9,2,4,3.38,3.333333333,3.333333333,
Disgaea 1,2003,Playstation 2,Sixth,SRPG,No,3.333333333,3.333333333,27,48.15%,51.85%,18.52%,1,7,6,8,5,3.367647059,3.333333333,3.333333333,
Pokemon 1 Red/Blue,1996,Gameboy,Fourth,JRPG,No,3.333333333,3.333333333,33,45.45%,54.55%,18.18%,3,4,11,9,6,3.3625,3.333333333,3.333333333,
Etrian Odyssey V: Beyond the Myth,2016,Nintendo 3DS,Eighth,Blobber,No,3.307692308,3.307692308,13,46.15%,53.85%,0.00%,1,0,6,6,0,3.375,3.307692308,3.307692308,
Der Langrisser (SNES),1994,SNES,Fourth,SRPG,No,3.285714286,3.285714286,7,57.14%,42.86%,0.00%,0,2,1,4,0,3.392857143,0,0,
King’s Field I,1994,Playstation,Fifth,ARPG,Yes,3.285714286,3.285714286,7,28.57%,71.43%,0.00%,0,0,5,2,0,3.392857143,0,0,
Saga Frontier 2,1999,Playstation,Fifth,JRPG,No,3.285714286,3.285714286,7,42.86%,57.14%,0.00%,0,1,3,3,0,3.392857143,0,0,
Vandal Hearts 2,1999,Playstation,Fifth,SRPG,No,3.285714286,3.285714286,7,28.57%,71.43%,14.29%,0,1,4,1,1,3.392857143,0,0,
The World Ends with You,2007,Nintendo DS,Seventh,JRPG,No,3.272727273,3.272727273,11,54.55%,45.45%,18.18%,1,3,1,4,2,3.361111111,3.272727273,3.272727273,
Sailor Moon: Another Story,1995,SNES,Fourth,JRPG,Yes,3.25,3.25,8,37.50%,62.50%,25.00%,0,3,2,1,2,3.366666667,0,0,
Tales of Phantasia,1995,SNES,Fourth,ARPG,No,3.25,3.25,12,33.33%,66.67%,33.33%,1,3,4,0,4,3.342105263,3.25,3.25,
Phantasy Star 1,1987,Master System,Third,JRPG,No,3.25,3.25,20,30.00%,70.00%,10.00%,0,3,11,4,2,3.314814815,3.25,3.25,
Final Fantasy III,1990,NES,Third,JRPG,Original only,3.25,3.25,24,33.33%,66.67%,4.17%,0,3,13,7,1,3.306451613,3.25,3.25,
Persona 3,2006,Playstation 2,Sixth,JRPG,No,3.25,3.25,28,46.43%,53.57%,7.14%,2,4,9,11,2,3.3,3.25,3.25,
Illusion of Gaia,1993,SNES,Fourth,ARPG,No,3.235294118,3.235294118,17,47.06%,52.94%,0.00%,0,4,5,8,0,3.3125,3.235294118,3.235294118,
Parasite Eve 2,1999,Playstation,Fifth,ARPG,No,3.235294118,3.235294118,17,41.18%,58.82%,11.76%,0,5,5,5,2,3.3125,3.235294118,3.235294118,
Phantasy Star 2,1989,Genesis / Mega Drive,Fourth,JRPG,No,3.230769231,3.230769231,13,46.15%,53.85%,7.69%,1,2,4,5,1,3.325,3.230769231,3.230769231,
The Final Fantasy Legend (GB),1989,Gameboy,Fourth,JRPG,No,3.222222222,3.222222222,9,44.44%,55.56%,0.00%,0,2,3,4,0,3.34375,0,3.222222222,
Fire Emblem 8: The Sacred Stones,2004,Gameboy Advance,Sixth,SRPG,No,3.222222222,3.222222222,18,38.89%,61.11%,11.11%,1,3,7,5,2,3.3,3.222222222,3.222222222,
Pokemon 6 Black 2 / White 2,2012,Nintendo DS,Seventh,JRPG,No,3.2,3.2,10,40.00%,60.00%,10.00%,1,1,4,3,1,3.323529412,3.2,3.2,
Shadow Hearts: From the New World,2005,Playstation 2,Sixth,JRPG,No,3.181818182,3.181818182,11,36.36%,63.64%,0.00%,0,2,5,4,0,3.305555556,3.181818182,3.181818182,
Dragon Quest IX,2009,Nintendo DS,Seventh,JRPG,No,3.178571429,3.178571429,14,35.71%,64.29%,14.29%,1,4,3,3,2,3.285714286,3.178571429,3.178571429,4.5
Mother 1,1989,NES,Third,JRPG,Yes,3.157894737,3.157894737,19,26.32%,73.68%,5.26%,0,3,11,4,1,3.25,3.157894737,3.157894737,
Ni no Kuni,2010,Playstation 3,Seventh,ARPG,No,3.157894737,3.157894737,19,36.84%,63.16%,10.53%,0,6,6,5,2,3.25,3.157894737,3.157894737,
Final Fantasy X,2001,Playstation 2,Sixth,JRPG,No,3.157894737,3.157894737,38,47.37%,52.63%,5.26%,3,8,9,16,2,3.211111111,3.157894737,3.157894737,
Etrian Odyssey Nexus,2018,Nintendo 3DS,Eighth,Blobber,No,3.153846154,3.153846154,13,30.77%,69.23%,0.00%,1,0,8,4,0,3.275,3.153846154,3.153846154,
Fell Seal: Arbiter’s Mark,2019,PC,Eighth,SRPG,No,3.142857143,3.142857143,7,14.29%,85.71%,14.29%,0,1,5,0,1,3.321428571,0,0,
Dark Cloud,2000,Playstation 2,Sixth,ARPG,No,3.142857143,3.142857143,14,28.57%,71.43%,0.00%,0,2,8,4,0,3.261904762,3.142857143,3.142857143,
Super Mario RPG,1996,SNES,Fourth,JRPG,No,3.142857143,3.142857143,21,33.33%,66.67%,4.76%,0,5,9,6,1,3.232142857,3.142857143,3.142857143,
Pokemon 4 Platinum,2008,Nintendo DS,Seventh,JRPG,No,3.133333333,3.133333333,15,53.33%,46.67%,6.67%,3,1,3,7,1,3.25,3.133333333,3.133333333,
Azure Dreams,1997,Playstation,Fifth,Roguelike,No,3.125,3.125,8,37.50%,62.50%,0.00%,0,2,3,3,0,3.3,0,0,
Pokemon 5 Black / White,2010,Nintendo DS,Seventh,JRPG,No,3.125,3.125,16,37.50%,62.50%,12.50%,2,2,6,4,2,3.239130435,3.125,3.125,
Final Fantasy VIII,1999,Playstation,Fifth,JRPG,No,3.117647059,3.117647059,34,32.35%,67.65%,5.88%,1,7,15,9,2,3.182926829,3.117647059,3.117647059,
Front Mission 4,2003,Playstation 2,Sixth,SRPG,No,3.111111111,3.111111111,9,22.22%,77.78%,11.11%,0,2,5,1,1,3.28125,0,3.111111111,
Xenosaga 2,2004,Playstation 2,Sixth,JRPG,No,3.111111111,3.111111111,9,55.56%,44.44%,0.00%,1,2,1,5,0,3.28125,0,3.111111111,
Tales of Arise,2021,PC,Ninth,ARPG,No,3.111111111,3.111111111,9,33.33%,66.67%,0.00%,0,2,4,3,0,3.28125,0,3.111111111,
Romancing Saga,1992,SNES,Fourth,JRPG,Original only,3.111111111,3.111111111,9,22.22%,77.78%,22.22%,0,3,4,0,2,3.28125,0,3.111111111,
Soul Blazer,1992,SNES,Fourth,ARPG,No,3.111111111,3.111111111,9,22.22%,77.78%,0.00%,0,1,6,2,0,3.28125,0,3.111111111,
Fire Emblem 10: Awakening,2012,Nintendo 3DS,Eighth,SRPG,No,3.111111111,3.111111111,18,33.33%,66.67%,11.11%,0,6,6,4,2,3.22,3.111111111,3.111111111,
Star Ocean 3: Till the End of Time,2003,Playstation 2,Sixth,ARPG,No,3.1,3.1,10,30.00%,70.00%,10.00%,0,3,4,2,1,3.264705882,3.1,3.1,
Bahamut Lagoon,1996,SNES,Fourth,SRPG,Yes,3.1,3.1,10,20.00%,80.00%,20.00%,1,1,6,0,2,3.264705882,3.1,3.1,
Ni no Kuni II,2018,PC,Eighth,ARPG,No,3.1,3.1,10,50.00%,50.00%,10.00%,1,3,1,4,1,3.264705882,3.1,3.1,
Dragon Quest II,1987,NES,Third,JRPG,No,3.1,3.1,20,20.00%,80.00%,15.00%,1,3,12,1,3,3.203703704,3.1,3.1,
Tales of Symphonia,2003,Gamecube,Sixth,ARPG,No,3.090909091,3.090909091,11,36.36%,63.64%,9.09%,0,4,3,3,1,3.25,3.090909091,3.090909091,
Pokemon Mystery Dungeon Series,2009,Nintendo DS,Seventh,Roguelike,No,3,3,7,42.86%,57.14%,14.29%,1,2,1,2,1,3.25,0,0,
Valkyria Chronicles II,2010,Playstation Portable,Seventh,SRPG,No,3,3,8,37.50%,62.50%,25.00%,2,1,2,1,2,3.233333333,0,0,
Blue Dragon,2006,Xbox 360,Seventh,JRPG,No,3,3,9,22.22%,77.78%,11.11%,0,3,4,1,1,3.21875,0,3,
Fire Emblem 3: Mystery of the Emblem / New Mystery of the Emblem,1994,SNES,Fourth,SRPG,Original only,3,3,9,11.11%,88.89%,0.00%,0,1,7,1,0,3.21875,0,3,
Xanadu Next,2005,N-Gage,Seventh,ARPG,No,3,3,10,20.00%,80.00%,20.00%,1,2,5,0,2,3.205882353,3,3,
Lunar the Silver Star,1992,Sega CD,Fourth,JRPG,No,3,3,12,41.67%,58.33%,0.00%,1,3,3,5,0,3.184210526,3,3,
