Title,Year,Console,Generation,Sub-Genre,Fan translation?,Min-7 Average,Pure Average,Popularity,Percentage of 4s or 5s,"Percentage of 1s, 2s, or 3s",Percentage of 5s,1,2,3,4,5,Popularity Gradient Average,Min-10 Average,Min-12 Average,TwoEdge .5 votes
Dark Savior,1996,Sega Saturn,Fifth,,No,0,3.5,2,0.00%,0.00%,0.00%,0,0,1,1,0,2.722222222,0,0,
Sorcery Saga: Curse of the Great Curry God,2013,Playstation Vita,Eighth,,No,0,3.5,2,0.00%,0.00%,0.00%,0,0,1,1,0,2.722222222,0,0,
Caligula Effect,2016,Playstation 4,Eighth,,No,0,3,2,0.00%,0.00%,0.00%,0,1,0,1,0,2.722222222,0,0,
Labyrinth of Refrain,2017,Playstation 4,Eighth,,No,0,4.5,2,0.00%,0.00%,0.00%,0,0,0,1,1,2.722222222,0,0,
A Bird Story,2014,PC,Eighth,,No,0,3,2,0.00%,0.00%,0.00%,0,1,0,1,0,2.722222222,0,0,
Black Souls 2,2018,PC,Eighth,,Yes,0,4,2,0.00%,0.00%,0.00%,0,0,0,2,0,2.722222222,0,0,
Stella Glow,2015,Nintendo 3DS,Eighth,,No,0,4.5,2,0.00%,0.00%,0.00%,0,0,0,1,1,2.722222222,0,0,
Evergrace,2000,Playstation 2,Sixth,,No,0,2,3,0.00%,0.00%,0.00%,1,1,1,0,0,2.45,0,0,
Mana Khemia 2: Fall of Alchemy,2008,Playstation 2,Sixth,,No,0,4,3,0.00%,0.00%,0.00%,0,0,1,1,1,2.45,0,0,
Monster Hunter 1,2004,Playstation 2,Sixth,ARPG,No,0,3.333333333,3,0.00%,0.00%,0.00%,0,0,2,1,0,2.45,0,0,
Tales of Destiny 2,2002,Playstation 2,Sixth,ARPG,No,0,3.333333333,3,0.00%,0.00%,0.00%,0,0,2,1,0,2.45,0,0,
Tales of Legendia,2005,Playstation 2,Sixth,ARPG,No,0,2.666666667,3,0.00%,0.00%,0.00%,0,1,2,0,0,2.45,0,0,
The Nightmare of Druaga,2004,Playstation 2,Sixth,,No,0,2,3,0.00%,0.00%,0.00%,1,1,1,0,0,2.45,0,0,
Wild Arms 3,2002,Playstation 2,Sixth,,No,0,3.666666667,3,0.00%,0.00%,0.00%,0,0,1,2,0,2.45,0,0,
Wild Arms 5,2006,Playstation 2,Sixth,,No,0,2,3,0.00%,0.00%,0.00%,1,1,1,0,0,2.45,0,0,
Wizardry Empire II,2002,PC,Sixth,,Yes,0,3.666666667,3,0.00%,0.00%,0.00%,0,1,0,1,1,2.45,0,0,
Mega Man Battle Network,2001,Gameboy Advance,Sixth,,No,0,3,3,0.00%,0.00%,0.00%,0,1,1,1,0,2.45,0,0,
Parasite Eve: The 3rd Birthday,2010,Playstation Portable,Seventh,,No,0,2,3,0.00%,0.00%,0.00%,1,1,1,0,0,2.45,0,0,
Tales of Xillia,2011,Playstation 3,Seventh,ARPG,No,0,2.333333333,3,0.00%,0.00%,0.00%,1,1,0,1,0,2.45,0,0,
Tales of Xillia 2,2012,Playstation 3,Seventh,ARPG,No,0,2.333333333,3,0.00%,0.00%,0.00%,0,2,1,0,0,2.45,0,0,
Dragon Quest Monsters: Joker 2,2010,Nintendo DS,Seventh,,No,0,3.333333333,3,0.00%,0.00%,0.00%,0,1,1,0,1,2.45,0,0,
Etrian Odyssey 2,2008,Nintendo DS,Seventh,,No,0,4.333333333,3,0.00%,0.00%,0.00%,0,0,0,2,1,2.45,0,0,
Infinite Space,2009,Nintendo DS,Seventh,,No,0,4.333333333,3,0.00%,0.00%,0.00%,0,0,0,2,1,2.45,0,0,
Cyber Knight I,1992,SNES,Fourth,,Yes,0,2.666666667,3,0.00%,0.00%,0.00%,0,1,2,0,0,2.45,0,0,
Cyber Knight II,1994,SNES,Fourth,,Yes,0,3,3,0.00%,0.00%,0.00%,0,1,1,1,0,2.45,0,0,
Emerald Dragon,1995,SNES,Fourth,,Yes,0,2.333333333,3,0.00%,0.00%,0.00%,0,2,1,0,0,2.45,0,0,
Wizardry Gaiden 4,1996,SNES,Fourth,,Yes,0,3.666666667,3,0.00%,0.00%,0.00%,0,1,0,1,1,2.45,0,0,
Ys V,1995,SNES,Fourth,,Yes,0,2.666666667,3,0.00%,0.00%,0.00%,0,1,2,0,0,2.45,0,0,
Rance 03,1991,PC,Fourth,,Japanese only,0,3,3,0.00%,0.00%,0.00%,0,0,3,0,0,2.45,0,0,
Vixen 357,1992,Genesis / Mega Drive,Fourth,,No,0,4,3,0.00%,0.00%,0.00%,0,1,0,0,2,2.45,0,0,
Tecmo’s Deception,1996,Playstation,Fifth,,No,0,3.666666667,3,0.00%,0.00%,0.00%,0,0,1,2,0,2.45,0,0,
Wild Arms 2,1999,Playstation,Fifth,,No,0,4.333333333,3,0.00%,0.00%,0.00%,0,0,0,2,1,2.45,0,0,
Dragon Quest Monsters 2,2001,Gameboy Color,Fifth,,No,0,4,3,0.00%,0.00%,0.00%,0,0,1,1,1,2.45,0,0,
Demon Gaze,2014,Playstation Vita,Eighth,,No,0,3.666666667,3,0.00%,0.00%,0.00%,0,0,1,2,0,2.45,0,0,
Demon Gaze II,2017,Playstation Vita,Eighth,,No,0,3.333333333,3,0.00%,0.00%,0.00%,0,0,2,1,0,2.45,0,0,
Moero Chronicle,2014,Playstation Vita,Eighth,,No,0,3,3,0.00%,0.00%,0.00%,0,0,3,0,0,2.45,0,0,
Labyrinth of Touhou 2,2012,Playstation 4,Eighth,,No,0,4,3,0.00%,0.00%,0.00%,0,0,1,1,1,2.45,0,0,
Metal Max Xeno,2018,Playstation 4,Eighth,,No,0,2,3,0.00%,0.00%,0.00%,2,0,0,1,0,2.45,0,0,
Star Ocean 5: Integrity and Faithlessness,2016,Playstation 4,Eighth,,No,0,2.333333333,3,0.00%,0.00%,0.00%,1,1,0,1,0,2.45,0,0,
Ys IX,2019,Playstation 4,Eighth,,No,0,3,3,0.00%,0.00%,0.00%,0,1,1,1,0,2.45,0,0,
Atelier Ryza Series,2019,PC,Eighth,,No,0,3.666666667,3,0.00%,0.00%,0.00%,0,0,2,0,1,2.45,0,0,
Rance 01,1989,PC,Third,,No,0,2.75,4,0.00%,0.00%,0.00%,0,2,1,1,0,2.227272727,0,0,
Eternal Ring,2000,Playstation 2,Sixth,,No,0,2.75,4,0.00%,0.00%,0.00%,0,2,1,1,0,2.227272727,0,0,
Mana Khemia: Alchemists of Al-Revis,2007,Playstation 2,Sixth,,No,0,3.25,4,0.00%,0.00%,0.00%,1,0,1,1,1,2.227272727,0,0,
